file,label,index,English,French,German,Spanish,Italian,Dutch,Turkish,Notes,ObservedMaxLines,ObservedMaxLineChars,ObservedMinTotalChars,ObservedMaxTotalChars
hundred_mgm_descr.msbt,ps_mgh113_rls_2,195,Tackle the runner!,Plaquez l'attaquant !,Halte den Spieler mit dem Ball auf!,¡Hazle un placaje al atacante!,Placca il portatore di palla!,Tackel de aanvaller!,Koşucuya tackle yap!,,1,35,18,35
hundred_mgm_descr.msbt,mgh205c,196,[ba][bb]: Saw,[ba][bb] : scier,[ba][bb]: Sägen,Serrar: [ba]/[bb],[ba][bb]: sega,[ba] en [bb]: zagen,[ba][bb]: Testere çek,,1,19,13,19
hundred_mgm_descr.msbt,mgh_note_210,197,"Remember where each dish
is and get the order ready!","Mémorisez l'emplacement
des plats et préparez la
commande demandée !","Merke dir, welches Gericht
wo ist, und finde die richtige
Bestellung!","¡Recuerda dónde está cada
plato y prepara el menú!","Ricorda la posizione di
ogni piatto e soddisfa
l'ordinazione!","Probeer te onthouden waar
elk gerecht is om aan de
bestelling te voldoen!","Her yemeğin yerini aklında
tut ve siparişi hazırla!",,3,30,50,73
hundred_mgm_descr.msbt,mgh903c,198,"[bsl]: Move
[bb]: Normal hit
[ba]: Power hit","[bsl] : se déplacer
[bb] : coup normal
[ba] : coup puissant","[bsl]: Bewegen
[bb]: normaler Schlag
[ba]: starker Schlag","Moverse: [bsl]
Disparo normal: [bb]
Disparo fuerte: [ba]","[bsl]: muoviti
[bb]: colpo normale
[ba]: colpo di potenza","[bsl]: bewegen
[bb]: normaal slaan
[ba]: hard slaan","[bsl]: Hareket
[bb]: Normal vuruş
[ba]: Güçlü vuruş",,3,22,44,59
hundred_mgm_descr.msbt,mgh_note_418,199,"Move Goombas to reach
the exit!","Poussez les Goombas
pour atteindre la sortie !","Verschiebe Gumbas, um den
Ausgang zu erreichen!","¡Empuja a los Goombas para
llegar a la salida!","Sposta i Goomba e raggiungi
l'uscita!","Duw de Goomba's aan de
kant om de deur te bereiken!",Goomba’ları itip çıkışa ulaş!,,2,28,31,51
hundred_mgm_descr.msbt,ps_mgh419c,200,"[bsl]: Move
[ba]: Jump","[bsl] : se déplacer
[ba] : sauter","[bsl]: Bewegen
[ba]: Springen","Moverse: [bsl]
Saltar: [ba]","[bsl]: muoviti
[ba]: salta","[bsl]: bewegen
[ba]: springen","[bsl]: Hareket
[ba]: Zıpla",,2,19,22,33
hundred_mgm_descr.msbt,mgh_note_106,201,"Pull the rope and drag your
rivals off the cliff!","Tirez la corde pour faire
tomber vos adversaires
dans le ravin !","Ziehe am Seil und lasse
deine Gegner von der Klippe
purzeln!","¡Tira de la cuerda y arrastra
a tus rivales al acantilado!","Tira la fune e fai precipitare
i tuoi rivali!","Trek aan het touw en
sleep je tegenspelers
de afgrond in!","Halatı çekip rakiplerini
uçurumdan aşağı sürükle!",,3,30,45,64
hundred_mgm_descr.msbt,mgh110_opmsg_2,202,"Jump to avoid getting
sent flying!","Sautez au bon moment
pour éviter de tomber !","Springe, um nicht davon-
geschleudert zu werden!","¡Salta para evitar que
te saquen volando!","Salta per non farti sbalzare
via dalle piattaforme!","Spring op tijd om niet
gelanceerd te worden!",Havaya uçmamak için zıpla!,,2,28,34,51
hundred_mgm_descr.msbt,mgh_note_211,203,"Ground Pound to stop
the spark!","Effectuez des charges au sol
pour éteindre les mèches !","Führe Stampfattacken aus,
um die brennende Lunte zu
löschen!","¡Apaga la mecha
con un Salto Bomba!","Esegui degli schianti a terra
per spegnere le micce!","Doof de lonten met
stampsprongen!","Yere Vuruş
yapıp fitildeki
kıvılcımı söndür!",,3,29,31,60
hundred_mgm_descr.msbt,ps_mgh901_rls,204,Reach the point goal first!,Remportez la partie de volley !,"Erreiche als erstes Team die
vorgegebene Punktzahl!","¡Consigue más puntos
que nadie!","Raggiungi il numero di punti stabilito
prima dell'altra squadra!","Haal als eerste het
vereiste aantal punten!",Hedef puana ilk ulaşan ol!,,2,38,27,64
hundred_mgm_descr.msbt,mgh414_opmsg,205,Raise the flag quickly!,"Hissez le drapeau le plus
rapidement possible !","Hisse die Fahne, so schnell
du kannst!","¡Iza la bandera tan
rápido como puedas!","Issa la bandiera il più
in fretta possibile!",Hijs de vlag!,Bayrağı hızla yukarı çek!,,2,27,13,47
hundred_mgm_descr.msbt,mgh_note_419,206,Survive until the end!,"Évitez les boulets
jusqu'à la fin !",Halte bis zum Ende durch!,¡Resiste hasta el final!,Sopravvivi fino alla fine!,Blijf zo lang mogelijk staan!,Sonuna kadar dayan!,,2,29,22,35
hundred_mgm_descr.msbt,ps_mgh434c,207,"[bsl]: Move
[ba]: Hit switch","[bsl] : se déplacer
[ba] : appuyer sur le détonateur","[bsl]: Bewegen
[ba]: Zünder aktivieren","Moverse: [bsl]
Activar detonador: [ba]","[bsl]: muoviti
[ba]: attiva il detonatore","[bsl]: bewegen
[ba]: ontsteker indrukken","[bsl]: Hareket
[ba]: Ateşleyiciye bas",,2,32,28,52
hundred_mgm_descr.msbt,ps_mgh439_rls,208,"Chase the rain cloud and water your
Piranha Plant!","Poursuivez le nuage pour
arroser votre Plante Piranha !","Folge der Regenwolke, um deine
Piranha-Pflanze zu wässern!","¡Ve a por la nube con lluvia
para regar tu Planta Piraña!
","Insegui la nuvola per innaffiare
la tua Pianta Piranha!","Volg de regenwolk en
geef je Piranha Plant water!","Yağmur bulutunun peşinden git
ve Piranha Plant’ini sula!",,3,35,49,58
hundred_mgm_descr.msbt,ps_mgh446_rls,209,"Pick up letters and deliver them to
the Shy Guy!","Ramassez les lettres et
donnez-les à Maskass !","Sammle die Briefe und übergib sie
dem Shy Guy!","¡Coge las  y entrégaselas
al Shy Guy!","Raccogli le lettere e consegnale
al Tipo Timido!","Pak brieven op en geef ze
aan de Shy Guy!",Mektupları topla ve Shy Guy’a teslim et!,,2,35,38,48
hundred_mgm_descr.msbt,ps_mgh453_rls,210,"Pump air into the balloon without
popping it!",Gonflez le ballon sans le faire éclater !,"Blase den Ballon auf, ohne dass er
zerplatzt!","¡Infla el balón, pero sin que estalle!","Soffia aria nel palloncino senza farlo
scoppiare!","Blaas de ballon op zonder
hem te laten knappen!",Balonu patlatmadan şişir!,,2,41,38,49
hundred_mgm_descr.msbt,ps_mgh460_rls,211,Fling yourself to the highest score!,"Lâchez au bon moment pour marquer
le plus de points possible !","Schleudere dich auf die höchste
Punktzahl!","¡Lánzate a por la mayor
puntuación!",Lanciati verso il punteggio più alto!,"Werp jezelf naar
de hoogste score!",Kendini en yüksek puana doğru fırlat!,,2,37,34,62
hundred_mgm_descr.msbt,mgh_note_212,212,"Break down the boulders to
get back on the road!","Brisez les rochers pour
pouvoir reprendre la route !","Räume die Felsblöcke aus
dem Weg, um weiterfahren
zu können!","¡Romped las rocas para
poder continuar la marcha!","Distruggi i massi in mezzo
alla strada per proseguire!","Breek de rotsen om door
te kunnen rijden!",Yolu açmak için kayaları parçala!,,3,28,41,60
hundred_mgm_descr.msbt,ps_mgh801c,213,"[bsl]: Move cursor
Hold [ba]: Carry block
Release [ba]: Place block on top
[bb]: Move block up","[bsl] : déplacer le curseur
Maintenir [ba] : attraper un bloc
Relâcher [ba] : placer le bloc en haut
[bb] : faire monter tous les blocs","[bsl]: Zeiger bewegen
[ba] halten: Block ziehen
[ba] loslassen: Block absetzen
[bb]: Block aufwärts bewegen","Mover cursor: [bsl]
Llevar bloque: [ba] (mantener)
Colocar bloque arriba: [ba]
Mover bloque arriba: [bb]","[bsl]: muovi il cursore
Tieni premuto [ba]: prendi il blocco
Rilascia [ba]: metti il blocco in cima
[bb]: fai salire tutti i blocchi","[bsl]: kiezen
[ba] ingedrukt houden: bewegen
[ba] loslaten: bovenop zetten
[bb]: speelveld omhoog bewegen","[bsl]: İmleci hareket ettir
[ba] basılı tut: Bloğu taşı
[ba] bırak: Bloğu üste koy
[bb]: Blokları yukarı taşı",,4,38,94,135
hundred_mgm_descr.msbt,mgh424_opmsg,214,"Bounce and slam into your
rivals to knock them off!","Rebondissez et percutez vos
adversaires pour les éjecter !","Hüpfe und rempele deine
Gegner an, um sie über den
Rand zu schubsen!","¡Muévete dando botes
y empuja a tus rivales
para sacarlos fuera!","Salta e colpisci i tuoi rivali
per farli precipitare!","Stuiter en ram je tegenspelers
om ze te laten vallen!","Sekerek rakiplerine
çarp ve onları aşağı at!",,3,30,51,68
hundred_mgm_descr.msbt,ps_mgh110c_2,215,"[bsl]: Move
[ba]: Jump
[ba] in the air: Ground Pound","[bsl] : se déplacer
[ba] : sauter
[ba] dans les airs : charge au sol","[bsl]: Bewegen
[ba]: Springen
[ba] im Sprung: Stampfattacke","Moverse: [bsl]
Saltar: [ba]
Salto Bomba: [ba] (en el aire)","[bsl]: muoviti
[ba]: salta
[ba] a mezz'aria: schianto a terra","[bsl]: bewegen
[ba]: springen
[ba] in de lucht: stampsprong","[bsl]: Hareket
[ba]: Zıpla
Havadayken [ba]: Yere Vuruş",,3,34,52,68
hundred_mgm_descr.msbt,mgh_note_213,216,"Match the pictures on the
reels with the guide!","Faites tourner les
rouleaux pour trouver
les bons dessins !","Die Bilder auf den Rollen
müssen mit der Vorgabe
übereinstimmen!","¡Empareja las imágenes
del rodillo con las del modelo!","Fate coincidere i simboli sui
rulli con quelli mostrati!","Draai de rol tot de plaatjes
hetzelfde zijn als op het
voorbeeld!","Makaralardaki resimleri
örnekle eşleştir!",,3,31,47,65
hundred_mgm_descr.msbt,ps_mgh403c,217,"[bsl]: Move
[ba]: Jump
[ba] in the air: Ground Pound","[bsl] : se déplacer
[ba] : sauter
[ba] dans les airs : charge au sol","[bsl]: Bewegen
[ba]: Springen
[ba] im Sprung: Stampfattacke","Moverse: [bsl]
Saltar: [ba]
Salto Bomba: [ba] (en el aire)","[bsl]: muoviti
[ba]: salta
[ba] a mezz'aria: schianto a terra","[bsl]: bewegen
[ba]: springen
[ba] in de lucht: stampsprong","[bsl]: Hareket
[ba]: Zıpla
Havadayken [ba]: Yere Vuruş",,3,34,52,68
hundred_mgm_descr.msbt,mgh419c,218,"[bsl]: Move
[ba]: Jump","[bsl] : se déplacer
[ba] : sauter","[bsl]: Bewegen
[ba]: Springen","Moverse: [bsl]
Saltar: [ba]","[bsl]: muoviti
[ba]: salta","[bsl]: bewegen
[ba]: springen","[bsl]: Hareket
[ba]: Zıpla",,2,19,22,33
hundred_mgm_descr.msbt,mgh434_opmsg,219,Hit a switch that won't explode!,"Choisissez un détonateur qui
ne provoquera pas d'explosion !","Aktiviere einen Zünder, der die
Bombe nicht explodieren lässt!","¡Activa un detonador que
no vaya a explotar!","Attiva un detonatore sperando
che la bomba non esploda!","Kies een ontsteker die
de bom niet laat ontploffen!","Bombayı patlatmayacak
bir ateşleyici seç!",,2,32,32,62
hundred_mgm_descr.msbt,ps_mgh437_rls,220,"Wind up as fast as you can so your mecha
flies the farthest!","Remontez votre robot pour qu'il
vole le plus loin possible !","Ziehe deinen Robo-Fly Guy auf, so schnell
es geht, damit er am weitesten fliegt!","¡Dale cuerda a tu Helicoguy tan
rápido como puedas para que
llegue más lejos que los demás!","Carica rapidamente il robot e fallo
volare più lontano di tutti!","Wind je Mecha Fly Guy snel op,
zodat hij het verste vliegt!","Mekanizmanı olabildiğince
hızlı kur; en uzağa uçsun!",,3,41,59,91
hundred_mgm_descr.msbt,ps_mgh444_rls,221,"Climb the beanstalk by jumping onto
the leaves!","Grimpez le plus haut possible
en sautant sur les feuilles !","Klettere an der Bohnenstange hoch,
indem du auf die Blätter springst!","¡Trepa por la planta de judías
saltando de hoja en hoja!",Scala la pianta saltando sulle sue foglie!,"Beklim de bonenstaak door van
blad naar blad te springen!",Yapraklara zıplayarak fasulye sırığına tırman!,,2,42,42,69
hundred_mgm_descr.msbt,mgh457_opmsg,222,"Dodge the obstacles in
a race for the goal!","Chevauchez un Bill Balle
jusqu'à l'arrivée !","Weiche auf dem Weg zum
Ziel den Hindernissen aus!","¡Esquiva los obstáculos
en la carrera hacia la meta!","Evita gli ostacoli e raggiungi
il traguardo prima degli altri!","Race naar de eindstreep
en ontwijk de obstakels!","Engellerden kaçıp
hedefe kadar yarış!",,2,31,43,62
hundred_mgm_descr.msbt,mgh_note_109,223,"Ground Pound the boat to
send waves at your rivals!","Envoyez des vagues sur vos
adversaires en effectuant
des charges au sol !","Stampfe im Boot auf, um
Wellen in Richtung deiner
Gegner zu schicken!","¡Haz un Salto Bomba
en la barca para enviar
olas a tus rivales!","Esegui uno schianto a terra
sulla barca per far alzare
delle onde contro i tuoi rivali!","Maak stampsprongen in
de boot om golven op je
tegenspelers af te sturen!","Kayığa Yere Vuruş yapıp
rakiplerine dalga gönder!",,3,32,51,87
hundred_mgm_descr.msbt,mgh110c_2,224,"[bsl]: Move
[ba]: Jump
[ba] in the air: Ground Pound","[bsl] : se déplacer
[ba] : sauter
[ba] dans les airs : charge au sol","[bsl]: Bewegen
[ba]: Springen
[ba] im Sprung: Stampfattacke","Moverse: [bsl]
Saltar: [ba]
Salto Bomba: [ba] (en el aire)","[bsl]: muoviti
[ba]: salta
[ba] a mezz'aria: schianto a terra","[bsl]: bewegen
[ba]: springen
[ba] in de lucht: stampsprong","[bsl]: Hareket
[ba]: Zıpla
Havadayken [ba]: Yere Vuruş",,3,34,52,68
hundred_mgm_descr.msbt,mgh_note_214,225,Roll the ball to the goal!,"Poussez le ballon jusqu'à
l'arrivée !",Rolle den Ball ins Ziel!,¡Empuja la bola hacia la meta!,"Fate rotolare la palla fino
al traguardo!",Rol de bal naar de finish!,Topu yuvarlayıp bitişe götür!,,2,30,24,41
hundred_mgm_descr.msbt,mgh002_tlp_s2,226,"Ground Pound the tiles
to solve the puzzle!","Effectuez des charges au sol
pour reconstituer l'image !","Führe Stampfattacken auf
die Kacheln durch und löse
das Puzzle!","¡Golpea los paneles
para resolver el puzle!","Esegui uno schianto a terra sui
tasselli per risolvere il puzzle!","Los de puzzel op
met stampsprongen!","Yere Vuruşlarla kareleri
çevirip bulmacayı çöz!",,3,33,35,65
hundred_mgm_descr.msbt,mgh434c,227,"[bsl]: Move
[ba]: Hit switch","[bsl] : se déplacer
[ba] : appuyer sur le détonateur","[bsl]: Bewegen
[ba]: Zünder aktivieren","Moverse: [bsl]
Activar detonador: [ba]","[bsl]: muoviti
[ba]: attiva il detonatore","[bsl]: bewegen
[ba]: ontsteker indrukken","[bsl]: Hareket
[ba]: Ateşleyiciye bas",,2,32,28,52
hundred_mgm_descr.msbt,mgh111c_div2,228,[bsl]: Move,[bsl] : se déplacer,[bsl]: Bewegen,Moverse: [bsl],[bsl]: muoviti,[bsl]: bewegen,[bsl]: Hareket,,1,19,11,19
hundred_mgm_descr.msbt,mgh_112_note_m,229,"Be the kickers and go for
the goal, or be the goalie
and block those shots!","3 joueurs tentent de
marquer des buts tandis
que le 4e joue le gardien !","Die Spieler schießen auf
das Tor, der Torwart
versucht, die Bälle
abzuwehren!","¡Elige si quieres marcar
goles o ser el portero que
intenta parar los disparos!","Se sei tra i tiratori, cerca
di segnare più che puoi!
Se sei in porta, cerca
di parare i tiri dei rivali!","Probeer zo veel mogelijk
doelpunten te maken, of
probeer dat juist te
voorkomen als keeper!","Ya şutör olup gol ara ya
kaleye geçip şutları çıkar!",,4,28,72,105
hundred_mgm_descr.msbt,mgh202_opmsg,230,"Press the buttons to send 
to your rivals!","Appuyez sur les boutons
pour envoyer les  vers
vos adversaires !","Drücke die Knöpfe, um die 
in Richtung deiner Gegner zu
schicken!","¡Pulsa los botones para
enviar  a tus rivales!","Premi i pulsanti per mandare
i  verso i tuoi rivali!","Druk op de knoppen om 
op je tegenspelers af te sturen!","Düğmelere basıp ’ları
rakiplerine gönder!",,3,32,43,66
hundred_mgm_descr.msbt,mgh002_tlp_s3,231,"Jump from platform to platform
to chase !","Sautez de plateforme
en plateforme à la
poursuite de  !","Springe von Plattform zu
Plattform, um  zu erreichen!","¡Salta de plataforma en
plataforma para atrapar a !","Salta da una piattaforma
all'altra e raggiungi !","Spring van platform naar
platform en achtervolg !","Platformdan platforma
atlayıp ’ı yakala!",,3,30,42,56
hundred_mgm_descr.msbt,mgh_429_note_m,232,"Remember the beats the
last drummer played and
play the same ones, plus
one of your choice!","Reproduisez la séquence
jouée par le batteur
précédent, puis ajoutez
un son !","Erinnere dich daran, was
der Trommler vor dir
gespielt hat, und füge dann
selbst einen Ton hinzu!","Recuerda los últimos golpes
tocados, repítelos, y añade
el golpe que quieras.","Memorizza il ritmo suonato
dall'ultimo concorrente e
riproducilo, poi aggiungi
una nota a tua scelta!","Onthoud de slagen van
de vorige trommelaar,
trommel ze na, en voeg
zelf nog een slag toe!","Önceki davulcunun ritmini
hatırla; aynısını çal ve
bir vuruş da sen ekle!",,4,27,77,101
hundred_mgm_descr.msbt,ps_mgh441_rls,233,Hit the ball into the hole!,Envoyez la balle dans le trou !,Schlag den Ball ins Loch!,¡Mete la bola en el hoyo!,Metti la palla in buca!,Sla de bal in de hole!,Topu deliğe sok!,,1,31,22,31
hundred_mgm_descr.msbt,mgh457c_tilt,234,Hold the system as shown.,Tenez la console comme indiqué.,Halte das System wie angegeben.,Sujeta la consola como se indica abajo.,Tieni la console come mostrato.,Houd het systeem vast zoals afgebeeld.,Sistemi gösterildiği gibi tut.,,1,39,25,39
hundred_mgm_descr.msbt,ps_mgh110c,235,"[ba]: Swing hammer
[bb]: Fake swing","[ba] : frapper avec le marteau
[bb] : feinter","[ba]: Hammer schwingen
[bb]: Antäuschen","Martillazo: [ba]
Amagar: [bb]","[ba]: martella
[bb]: fai una finta","[ba]: met je hamer slaan
[bb]: nepzwaai","[ba]: Çekici savur
[bb]: Sahte vuruş",,2,30,29,45
hundred_mgm_descr.msbt,mgh_113_note_m,236,"All you have to do is run the
ball to the end zone! That,
and dodge the other 3
players trying to tackle you.","Un joueur doit emmener
le ballon dans l'en-but, les
3 autres doivent le plaquer
pour l'en empêcher !","Laufe einfach mit dem Ball
ins Ziel! Aber es gibt noch
3 Spieler, die versuchen,
dich aufzuhalten...","Solo tienes que llevar
el balón hasta la línea
de fondo... ¡y evitar los
placajes de los 3 defensas!","Schiva i 3 difensori e
raggiungi la meta per
segnare un touchdown!","Eén speler gaat voor de
touchdown, de andere drie
proberen dat te voorkomen!","Topu bitiş bölgesine taşıman
yeterli! Tabii seni tackle
etmeye çalışan diğer 3
oyuncudan da sıyrılmalısın.",,4,29,66,109
hundred_mgm_descr.msbt,mgh002_tlp_s4,237,"Ground Pound the tiles
to solve the puzzle!","Effectuez des charges au sol
pour reconstituer l'image !","Führe Stampfattacken auf die
Kacheln durch und löse das
Puzzle!","¡Golpea los paneles
para resolver el puzle!","Esegui uno schianto a terra sui
tasselli per risolvere il puzzle!","Los de puzzel op
met stampsprongen!","Yere Vuruşlarla kareleri
çevirip bulmacayı çöz!",,3,33,35,65
hundred_mgm_descr.msbt,mgh403c,238,"[bsl]: Move
[ba]: Jump
[ba] in the air: Ground Pound","[bsl] : se déplacer
[ba] : sauter
[ba] dans les airs : charge au sol","[bsl]: Bewegen
[ba]: Springen
[ba] im Sprung: Stampfattacke","Moverse: [bsl]
Saltar: [ba]
Salto Bomba: [ba] (en el aire)","[bsl]: muoviti
[ba]: salta
[ba] a mezz'aria: schianto a terra","[bsl]: bewegen
[ba]: springen
[ba] in de lucht: stampsprong","[bsl]: Hareket
[ba]: Zıpla
Havadayken [ba]: Yere Vuruş",,3,34,52,68
hundred_mgm_descr.msbt,mgh_410_note_m,239,"Draw 3 cards. Whoever
has the highest total at the
end wins!","Piochez 3 cartes.
Le joueur dont le total est
le plus élevé l'emporte !","Decke 3 Karten auf, die
jeweils eine Zahl zeigen.
Es gewinnt derjenige mit
der höchsten Summe.","Coge 3 cartas. ¡Ganará
quien sume más puntos
con ellas!","Pesca 3 carte. Vince chi
ottiene il punteggio totale
più alto!","Trek 3 kaarten.
Degene met het hoogste
totaal wint!","3 kart çek. Sonunda toplamı
en yüksek olan kazanır!",,4,28,51,94
hundred_mgm_descr.msbt,mgh_443_note_m,240,"Dodge the penguins without
falling into the water.
Last one standing wins!","Évitez les Pingouins pour
ne pas tomber à la mer.
Le dernier joueur
en lice l'emporte !","Weiche den Pinguinen aus
und falle nicht ins Wasser.
Wer als Letzter übrig bleibt,
gewinnt!","¡Esquiva los pingüinos
sin caerte al agua!
¡Quien aguante hasta
el final, gana!","Schiva i Pinguotti per non
farti spingere in acqua.
Vince chi resiste più
a lungo!","Ontwijk de pinguïns zonder
in het water te vallen! Wie
als laatste overblijft, wint.","Penguenlerden kaçıp suya düşme!
Ayakta kalan son oyuncu kazanır!",,4,29,74,91
hundred_mgm_descr.msbt,ps_mgh445c,241,"Hold [ba]: Forward
[bsl] Left while holding [ba]: Turn left
[bsl] Right while holding [ba]: Turn right","Maintenir [ba] : patiner tout droit
[bsl] gauche + [ba] : tourner vers la gauche
[bsl] droite + [ba] : tourner vers la droite","[ba] halten: Vorwärts
[bsl] links und [ba] halten: nach links
[bsl] rechts und [ba] halten: nach rechts","Avanzar: [ba] (mantener)
Girar: [bsl] (izda./dcha.)","Tieni premuto [ba]: pattina
[bsl] a sinistra + [ba]: curva a sinistra
[bsl] a destra + [ba]: curva a destra","[ba] ingedrukt houden: schaatsen
[bsl] naar links terwijl je [ba] ingedrukt houdt:
naar links, [bsl] naar rechts terwijl je [ba]
ingedrukt houdt: naar rechts","[ba] basılı tut: İleri
[ba] basılıyken [bsl] Sol: Sola dön
[ba] basılıyken [bsl] Sağ: Sağa dön",,4,49,51,157
hundred_mgm_descr.msbt,mgh_114_note_m,242,"It's a battle between the
player spinning the stage
and the 3 trying their best
not to fall through!","Un joueur fait tourner la
plateforme pour faire
tomber ses 3 adversaires
dans les trous !","Ein Spieler dreht das
Spielfeld und 3 weitere
versuchen, nicht in die
Löcher zu fallen!","¡Un duelo entre el jugador
que hace girar el escenario
y los otros tres que intentan
no caerse!","Una lotta serrata fra il
concorrente che ruota la
piattaforma e gli altri 3 che
cercano di non precipitare!","Eén speler draait het
platform, de andere
drie moeten proberen
om niet te vallen!","Bir oyuncu sahneyi
döndürüyor; diğer üçü
deliklerden düşmemek
için direniyor!",,4,29,81,107
hundred_mgm_descr.msbt,mgh002_tlp_s5,243,"Ground Pound 3 switches
to defeat !","Activez 3 interrupteurs
pour attaquer  !","Führe Stampfattacken auf
3 Schalter durch, um  zu
besiegen!","¡Golpea 3 interruptores
para derrotar a !","Esegui uno schianto a terra su
3 interruttori per battere !","Doe stampsprongen op 3
schakelaars om  te verslaan!",3 düğmeye Yere Vuruş yapıp ’ı yen!,,3,30,36,60
hundred_mgm_descr.msbt,mgh003_opmsg,244,"Dodge the barrels and reach
the goal before !","Sautez par-dessus les tonneaux
et atteignez l'arrivée avant  !","Weiche den Fässern aus und
erreiche das Ziel vor !","¡Esquiva los barriles y llega
a la meta antes que !","Evita i barili e raggiungi
il traguardo prima di !","Ontwijk de tonnen en bereik
de finish eerder dan !","Varillerden sıyrıl ve
’dan önce bitişe ulaş!",,2,32,46,63
hundred_mgm_descr.msbt,mgh408_opmsg,245,Trace the guideline carefully!,Suivez soigneusement la ligne !,"Ziehe die vorgezeichnete
Linie nach!",¡Sigue el rastro de la línea!,Ricalca con cura la linea guida!,Trek de lijn zorgvuldig over!,"Kılavuz çizgiyi
dikkatle üzerinden geç!",,2,32,29,36
hundred_mgm_descr.msbt,mgh_411_note_m,246,"Punch and kick your rivals
off of the swaying platform
and into the magma!","Combattez vos adversaires
pour les faire tomber d'une
plateforme vacillante !","Befördere deine Gegner
mit Schlägen und Tritten
von der schwankenden
Plattform in das Magma!","¡Empuja a tus rivales con
puños y pies para que
caigan de la plataforma
al magma!","Prendi i tuoi rivali a calci
e pugni per farli cadere
nella lava!","Mep en trap je tegenspelers
van het bewegende
platform af, in de lava!","Sallanan platformda rakiplerini
yumruk ve tekmeyle magmaya düşür!",,4,28,65,92
hundred_mgm_descr.msbt,ps_mgh425_rls,247,Dodge the Spiny Shells!,Esquivez les carapaces à épines !,Weiche den Stachi-Panzern aus!,¡Esquiva los caparazones de pinchos!,Schiva i gusci spinosi!,Ontwijk de Spiny-schilden!,Dikenli Kabuklardan sıyrıl!,,1,36,23,36
hundred_mgm_descr.msbt,mgh_431_note_d,248,"Jump over the hurdles!
The last one standing wins!","Sautez par-dessus les
haies ! Le dernier joueur
en lice l'emporte.","Springe über die Hürden!
Wer als Letzter übrig
bleibt, gewinnt!","¡Salta las vallas!
¡Quien quede en pie, gana!","Salta gli ostacoli!
Vince chi resiste più
a lungo!","Spring over de horden!
Wie als laatste overblijft,
wint.","Engellerin üzerinden
atla! Ayakta kalan
son oyuncu kazanır!",,3,27,45,66
hundred_mgm_descr.msbt,ps_mgh432_rls,249,Stretch the face to look like the guide!,"Tirez sur le visage pour
reproduire le modèle !","Ziehe das Gesicht so, dass es wie die
Vorlage aussieht!","¡Mueve los rasgos faciales
para reproducir el modelo!","Stropiccia la faccia per farla somigliare
a quella indicata!","Rek het gezicht uit om het
voorbeeld na te maken!",Yüzü örneğe benzeyecek şekilde esnet!,,2,41,40,60
hundred_mgm_descr.msbt,mgh_444_note_m,250,"Jump from leaf to leaf
and climb higher than
anyone else!","Sautez de feuille en feuille
pour grimper le plus haut
possible !","Springe von Blatt zu Blatt
und klettere höher als deine
Gegner!","¡Trepa por la planta de
judías saltando de hoja
en hoja y llega más alto
que nadie!","Salta di foglia in foglia
e scala la pianta. Vince
chi arriva più in alto!","Spring van blad naar
blad en klim het
hoogst van allemaal!","Yapraktan yaprağa
zıplayıp herkesten
daha yükseğe tırman!",,4,28,57,83
hundred_mgm_descr.msbt,ps_mgh460c,251,[ba]: Fling,[ba] : lâcher prise,[ba]: Loslassen,Lanzarse: [ba],[ba]: lanciati,[ba]: loslaten,[ba]: Kendini fırlat,,1,19,11,19
hundred_mgm_descr.msbt,mgh102_opmsg_2,252,Don't let the crane catch you!,"Ne vous laissez pas
attraper par la pince !","Lass dich nicht vom Greifer
erwischen!",¡No dejes que la pinza te coja!,Non farti afferrare dall'artiglio!,Laat de grijparm je niet pakken!,Kıskaca yakalanma!,,2,34,30,43
hundred_mgm_descr.msbt,ps_mgh414c,253,Stylus: Turn crank,Stylet : tourner la roue,Touchpen: Kurbel drehen,Girar la manivela: pantalla táctil,Stilo: ruota la manovella,Stylus: draaien,Dokunmatik kalem: Kolu çevir,,1,34,15,34
hundred_mgm_descr.msbt,mgh418_opmsg,254,Move  to reach the exit!,"Poussez les  pour
atteindre la sortie !","Verschiebe , um den
Ausgang zu erreichen!","¡Empuja a los  para
llegar a la salida!","Sposta i  e raggiungi
l'uscita!","Verplaats de  om de
uitgang te bereiken!",’ları itip çıkışa ulaş!,,2,25,25,42
hundred_mgm_descr.msbt,mgh_445_note_m,255,"It's a race! Be the first to
finish 5 laps around
the rink!","Faites la course sur la
patinoire ! Le premier
qui effectue 5 tours
l'emporte.","Das Rennen beginnt! Drehe
als Erster 5 Runden auf dem
Eis!","¡Completa 5 vueltas
a la pista de patinaje
antes que nadie!","Una corsa classica! Percorri
5 giri e taglia il traguardo
prima dei tuoi rivali!","Schaats als eerste 5 keer
de schaatsbaan rond en
win de race!","Yarış zamanı! Buz
pistindeki 5 turu
ilk sen tamamla!",,4,28,58,80
hundred_mgm_descr.msbt,ps_mgh106c_2,256,Rotate : Pull rope, : tirer la corde, rotieren: am Seil ziehen,Tirar de la cuerda: rotar ,Ruota : tira la fune, draaien: aan het touw trekken, döndür: Halatı çek,,1,31,19,31
