Index,Label,English,French,German,Spanish,Italian,Dutch,Portuguese,Russian,Turkish,TR_Notes,Ref_MaxLines,Ref_MaxLinePx,Ref_MaxUtf16Bytes
973,dlg_legend2_2nd_select_01_u,Which do you want to give up on?,"Choisissez la quête que vous
souhaitez abandonner.","Welches Abenteuer möchtest
du aufgeben?",¿Qué aventura quieres abandonar?,Quale gioco vuoi abbandonare?,Welk avontuur wil je opgeven?,De qual deseja abdicar?,Прогресс какой игры удалить?,Hangisinden vazgeçmek istiyorsun?,,2,809,102
974,dlg_legend2_2nd_choice_value_01_u,StreetPass Quest,Mii en péril,Rette die Krone!,Rescate Mii,Libera Mii,Mii in misère,O Resgate Mii,Спаси Mii,Mii’yi Kurtar!,,1,389,34
975,dlg_legend2_2nd_choice_value_02_u,StreetPass Quest II,Mii en péril II,Rette die Krone II,Rescate Mii II,Libera Mii II,Mii in misère II,O Resgate Mii II,Спаси Mii II,Mii’yi Kurtar! II,,1,433,40
976,dlg_legend2_coin_guide11_u,,,,,,,,,,,1,0,2
977,dlg_legend2_coin_guide02_u,"Would you like to
use [[CHR:E075]]2 Play Coins?",Utiliser 2 [[CHR:E075]] pièces de jeu ?,"Ist dir ein neuer Held
[[CHR:E075]] 2 Spielmünzen wert?",¿Inviertes 2 monedas?,"Vuoi davvero usare
2 monete di gioco [[CHR:E075]]?","Wil je [[CHR:E075]] 2 speelmunten
inwisselen?","Deseja utilizar duas
[[CHR:E075]] Moedas de Jogo?","Использовать 2 игровые
монетки [[CHR:E075]]?","[[CHR:E075]]2 Oyun Jetonu
kullanmak ister misin?",,2,629,90
978,dlg_legend2_test01,,,,,,,,,,,1,0,2
979,dlg_legend2_coin_guide03_u,"You can hire another
if you want...","Vous pouvez encore enrôler
un héros si vous voulez...","Du kannst noch einen weiteren
anheuern, wenn du willst...","Puedes contratar otro héroe
errante más si quieres...","Puoi ingaggiare un altro
eroe se vuoi...","Als je wilt, kun je er
nog eentje inhuren...","Se quiser, pode contratar outro...","Ты можешь нанять еще одного
героя, если хочешь...","İstersen bir kahraman
daha tutabilirsin...",,2,766,116
980,dlg_legend2_coin_past01_u,"You can use [[CHR:E075]] Play Coins to hire
up to three heroes met previously!","Vous pouvez utiliser des [[CHR:E075]] pièces
de jeu pour enrôler jusqu'à trois
héros précédemment rencontrés !","Du kannst bis zu drei Helden,
die du bereits getroffen hast,
für [[CHR:E075]] Spielmünzen anheuern!","¡Puedes usar monedas de juego
para contratar hasta a tres héroes
que te hayas encontrado antes!","Puoi usare monete di gioco
per ingaggiare fino a 3 eroi
già incontrati!","Hier kun je [[CHR:E075]] speelmunten
gebruiken om maximaal drie
helden die je eerder hebt
ontmoet, in te huren.","Pode utilizar [[CHR:E075]] Moedas de Jogo
para contratar até três heróis que
tenha encontrado anteriormente!","Ты можешь использовать игровые
монетки [[CHR:E075]], чтобы нанять до трех
героев, встреченных ранее!","[[CHR:E075]] Oyun Jetonlarıyla
daha önce tanıştığın üç
kahramana kadar tutabilirsin!",,4,799,202
981,dlg_legend2_coin_past02_u,"There aren't any old allies in
the palace. Try to meet some
heroes through StreetPass!","Il n'y a aucun ancien allié
dans le palais. Rencontrez
des héros via StreetPass !","Es sind keine alten Verbündeten
im Palast. Versuche, Helden über
StreetPass zu finden!","No hay antiguos aliados en
el palacio. ¡Busca héroes
a través de StreetPass!","Non ci sono vecchi alleati nel
palazzo. Cerca di incontrarne
qualcuno tramite StreetPass!","Er zijn nog geen oude bekenden
in het paleis. Probeer via
StreetPass helden te ontmoeten!","Não existem velhos aliados
no palácio. Tente encontrar heróis
através do StreetPass!","Во дворце нет бывших
соратников. Попробуй встретить
героев через StreetPass!","Sarayda eski müttefik
yok. StreetPass ile birkaç
kahramanla tanışmayı dene!",,3,785,180
982,dlg_legend2_coin_past03_u,,,,,,,,,,,1,0,2
983,dlg_legend2_coin_past04_u,"You don't have enough
[[CHR:E075]] Play Coins.","Vous n'avez pas assez
de [[CHR:E075]] pièces de jeu.","Du besitzt nicht genügend
[[CHR:E075]] Spielmünzen.","No tienes suficientes
monedas de juego.","Non hai abbastanza
monete di gioco [[CHR:E075]].","Je hebt niet genoeg
[[CHR:E075]] speelmunten.","Não tem [[CHR:E075]] Moedas
de Jogo suficientes.","У тебя недостаточно
игровых монеток [[CHR:E075]].",Yeterli [[CHR:E075]] Oyun Jetonun yok.,,2,600,84
984,dlg_legend2_coin_past05_u,[[TAG:1:1:]] left,Encore [[TAG:1:1:]],Noch: [[TAG:1:1:]],[[TAG:1:1:]] más,Ancora:[[TAG:1:1:]],Nog [[TAG:1:1:]],Mais: [[TAG:1:1:]],Еще: [[TAG:1:1:]],[[TAG:1:1:]] kaldı,,1,179,24
985,dlg_legend2_coin_past06_u,Cost,Coût,Kosten,Coste,Costo,Prijs,Custo,Цена,Bedel,,1,156,14
986,dlg_legend2_coin_past06_u_00,[[CHR:E075]][[TAG:1:1:]],[[TAG:1:1:]] [[CHR:E075]],[[CHR:E075]] [[TAG:1:1:]],[[TAG:1:1:]] [[CHR:E075]],[[TAG:1:1:]] [[CHR:E075]],[[CHR:E075]] [[TAG:1:1:]],[[CHR:E075]] [[TAG:1:1:]],[[TAG:1:1:]][[CHR:E075]],[[CHR:E075]][[TAG:1:1:]],,1,61,14
987,dlg_legend2_coin_past07_u,Level,Niveau,Stufe,Nivel,Livello,Level,Nível,Уровень,Seviye,,1,191,16
988,dlg_legend2_coin_past07_2_u,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
989,dlg_legend2_coin_past08_u,Level [[TAG:1:0:]],Niv. [[TAG:1:0:]],Stufe [[TAG:1:0:]],Nivel [[TAG:1:0:]],Livello [[TAG:1:0:]],Level [[TAG:1:0:]],Nível [[TAG:1:0:]],Уровень [[TAG:1:0:]],Seviye [[TAG:1:0:]],,1,207,26
990,dlg_legend2_coin_past09_u,[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],,1,0,10
991,dlg_legend2_coin_past10_u,[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],[[TAG:1:0:]],,1,0,10
992,dlg_legend2_coin_past11_u,[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],,1,0,10
993,dlg_legend2_coin_guide04_u,"OK then, now you just need to
select Venture Forth.","Fabuleux ! À présent, il
ne vous reste plus qu'à
choisir Partir à l'aventure.","Alles klar. Nun kannst du
„Der Krone zu Hilfe eilen“.","Está bien, ahora solo tienes que
elegir ""Al rescate de la corona"".","È tutto pronto! Ora devi solo
selezionare Salva la corona.","Oké, dan hoef je nu alleen nog
maar voor VERDERGAAN te kiezen.","OK. Agora só precisa de 
selecionar Desbravar.","Ну, хорошо. Теперь тебе
нужно только выбрать
Навстречу приключениям.","Tamam, şimdi sadece
Maceraya Atıl’ı seçmelisin.",,3,803,156
994,dlg_legend2_coin_guide05_u,"OK then, now you just need to
select Venture Forth.","Fabuleux ! À présent, il
ne vous reste plus qu'à
choisir Partir à l'aventure.","Alles klar! Wähle einfach
„Der Krone zu Hilfe eilen“.","Todo listo, ahora solo tienes que
elegir ""Al rescate de la corona"".","È tutto pronto! Ora devi solo
selezionare Salva la corona.","Oké, dan hoef je nu alleen nog
maar voor VERDERGAAN te kiezen.","OK, agora só tem de
escolher Desbravar.","Ну, хорошо. Теперь тебе
нужно только выбрать
Навстречу приключениям.","Tamam, şimdi sadece
Maceraya Atıl’ı seçmelisin.",,3,803,156
995,dlg_legend2_full01_u,"But you already have
plenty of heroes.","Mais vous avez déjà toute
une armée de héros !","Du besitzt jedoch bereits eine
große Gefolgschaft an Helden.","¡Pero si ya tienes
suficientes héroes!",Ma hai già abbastanza eroi...,Maar je hebt al genoeg helden.,Mas já tem heróis suficientes.,"Но у тебя уже целая
свита героев.","Ama zaten yeterince
kahramanın var.",,2,713,122
996,dlg_legend2_full02_u,"First, could you please choose
Venture Forth?","Pourriez-vous d'abord
choisir Partir à l'aventure ?","Könntest du also erst einmal
„Der Krone zu Hilfe eilen“?","¿Por qué no eliges primero
""Al rescate de la corona""?","Per prima cosa, potresti
selezionare Salva la corona?","Kun je om te beginnen eerst
voor VERDERGAAN kiezen?","Antes de mais, porque
não escolhe Desbravar?","Выбери, пожалуйста,
Навстречу приключениям.","Önce Maceraya Atıl’ı
seçebilir misin?",,2,697,114
997,dlg_legend2_full03_u,"First, could you please choose
Venture Forth?","Pourriez-vous d'abord
choisir Partir à l'aventure ?","Wähle zuerst
„Der Krone zu Hilfe eilen“ aus.","¿Por qué no eliges primero
""Al rescate de la corona""?","Innanzitutto, ti dispiacerebbe
scegliere Salva la corona?","Kun je om te beginnen eerst
voor VERDERGAAN kiezen?","Antes de mais, porque
não escolhe Desbravar?","Выбери, пожалуйста,
Навстречу приключениям.","Önce Maceraya Atıl’ı
seçebilir misin?",,2,697,116
998,dlg_legend2_full04_u,You have plenty of old allies now.,"Vous avez réuni suffisamment
d'anciens alliés.","Du hast nun eine große Gruppe
an alten Verbündeten.","¡Ya tienes un montón
de antiguos aliados!","Ora hai un sacco
di vecchi alleati.","Je hebt nu wel genoeg
oude bekenden.",Já tem velhos aliados suficientes.,"У тебя уже много бывших
соратников.",Artık epey eski müttefikin var.,,2,764,104
999,dlg_legend2_full05_u,"Select Venture Forth or
[[CHR:E075]] Hire Wanderers instead!","Choisissez Partir à l'aventure
ou [[CHR:E075]] Enrôler héros solitaires.","Wähle „Der Krone zu Hilfe eilen“
oder „[[CHR:E075]] Hilfshelden anheuern“!","Elige ""Al rescate de la corona""
o ""[[CHR:E075]] Héroes errantes"".","Scegli Salva la corona
o [[CHR:E075]] Ingaggia paladini!","Kies VERDERGAAN of
[[CHR:E075]] HELDEN INHUREN.","Escolha Desbravar ou
[[CHR:E075]] Contratar Viajantes!","Поэтому выбери Навстречу
приключениям или
[[CHR:E075]] Нанять рыцарей!","Maceraya Atıl’ı veya
[[CHR:E075]] Gezgin Tut’u seç!",,3,725,128
1000,dlg_legend2_short_coin_u,"Sorry, but it seems like
you don't have enough
[[CHR:E075]] Play Coins.","Malheureusement, vous n'avez
pas assez de [[CHR:E075]] pièces de jeu.","Schade! Du hast nicht
genügend [[CHR:E075]] Spielmünzen.","Lo siento, pero por lo visto
no tienes suficientes 
monedas de juego.","Che peccato! Pare tu non abbia
abbastanza monete di gioco...","Helaas. Je hebt niet
genoeg [[CHR:E075]] speelmunten.","Lamentamos, mas não tem
[[CHR:E075]] Moedas de Jogo suficientes.","Извини, но у тебя, кажется,
недостаточно игровых монеток.","Üzgünüm, yeterli
[[CHR:E075]] Oyun Jetonun yok gibi.",,3,746,140
1001,dlg_legend2_clear_01_u,"Would you like to restart
StreetPass Quest?","Voulez-vous recommencer
Mii en péril depuis le début ?","Möchtest du „Rette die Krone!“
wirklich von Neuem beginnen?","¿Seguro que quieres reiniciar
Rescate Mii?",Vuoi ricominciare Libera Mii?,"Wil je Mii in misère
opnieuw beginnen?",Deseja reiniciar O Resgate Mii?,Перезапустить игру Спаси Mii?,"Mii’yi Kurtar!’ı
baştan başlatmak ister misin?",,2,736,120
1002,dlg_legend2_clear_02_u,Excellent!,Merveilleux !,Exzellent!,¡Excelente!,Benissimo!,Prima!,Ótimo!,Отлично!,Mükemmel!,,1,287,28
1003,dlg_legend2_clear_03_u,"Well, I suppose I'd better
get kidnapped again...","Dans ce cas, je n'ai plus qu'à
me faire enlever à nouveau...","Mir schwant bereits, dass ich ein
weiteres Mal entführt werden soll...","Bueno, supongo que tendré que
volver a dejarme secuestrar...","Temo che mi toccherà subire
un altro rapimento...","Nou, dan moet ik me nog maar
een keer laten ontvoeren...","Bom, se calhar é melhor ser 
raptado outra vez...","Я полагаю, что меня скоро
опять похитят...","Sanırım yeniden
kaçırılma vakti...",,2,800,142
1004,dlg_legend2_clear_04_u,"This will mean starting over.
Is that OK?","Cela signifie que vous reprendrez
tout depuis le début. Confirmer ?","Das bedeutet, dass du wieder von
vorne anfängst! Ist das okay?","Comenzarás todo de nuevo.
¿Seguro que quieres continuar?","Dovrai ricominciare da capo.
Va bene?","Dit houdt in dat je helemaal
opnieuw begint! Wil je dat?","Isto significa voltar ao início.
Deseja continuar?","Это значит, что тебе придется
начать сначала. Продолжить?","Bu, en baştan başlamak demek.
Uygun mu?",,2,774,136
1005,dlg_legend2_clear_05_u,"The legend of valiant heroes who
fought to save the royal family!","L'histoire des vaillants héros
qui sauvèrent la famille royale !","Die Legende der Helden, die aus-
zogen, die Königsfamilie zu retten!","¡La leyenda de los valientes héroes
que salvaron a la Familia Real!","La leggenda degli eroi valorosi
che salvarono la famiglia reale!","De legende van de helden die de
koninklijke familie te hulp schoten!","A lenda dos heróis valentes que
lutaram para salvar a família real!","Легенда о героях, боровшихся за
спасение королевской семьи!","Kraliyet ailesini kurtaran
yürekli kahramanların efsanesi!",,2,802,138
1006,dlg_legend2_clear_06_u,"A longer, more challenging quest
for veterans of the first quest!","L'histoire des héros qui peinèrent à
sauver à nouveau la famille royale !","Eine größere Herausforderung für
Veteranen des ersten Abenteuers!","Un reto más largo y desafiante
para los veteranos del primero.","Una sfida più lunga e avvincente
per i veterani della prima missione!","Een langer en moeilijker avontuur
voor fans van het eerste deel!","Uma aventura mais complexa para
os veteranos do primeiro resgate!","Более длинное и сложное зада-
ние для ветеранов первой игры!","İlk maceranın ustaları için daha uzun
ve daha zorlu bir serüven!",,2,809,148
1007,dlg_legend2_clear_07_u,"This will restart your quest. Are
you sure you want to continue?","Voulez-vous recommencer
Mii en péril II depuis le début ?","Das Abenteuer wird neu gestartet.
Möchtest du wirklich fortfahren?","Se va a reiniciar tu aventura.
¿Quieres continuar?","Ricomincerai la tua missione.
Vuoi continuare?","Hiermee begin je het avontuur
overnieuw. Wil je verdergaan?","Isto reiniciará o resgate.
Deseja mesmo continuar?","Задание будет перезапущено.
Действительно продолжить?","Bu, maceranı baştan başlatacak.
Devam etmek istediğine emin misin?",,2,779,134
1008,dlg_legend2_clear_08_u,"Well, I suppose we'd better
get kidnapped again...","Dans ce cas, nous
n'avons plus qu'à nous
faire enlever à nouveau...","Mir schwant bereits, dass wir
erneut entführt werden sollen...","Vaya, me da que nos van
a secuestrar otra vez...","Temo che ci toccherà subire
un altro rapimento...","Nou, dan laten we ons maar
nog een keer ontvoeren...","Bem, suponho que teremos
de ser raptados outra vez...","Полагаю, нужно, чтобы нас
похитили еще раз...","Sanırım yine
kaçırılma vakti...",,3,719,136
1009,dlg_legend2_ed_01_u,,,,,,,,,,,1,0,2
1010,dlg_legend2_ed_02_u,,,,,,,,,,,1,0,2
1011,msg_panel_xx_u,,,,,,,,,,,1,0,2
1012,msg_piece_get_u,New piece!,"Nouvelle pièce
de puzzle !",Neues Puzzleteil!,¡Nuevo cromo!,Nuovo pezzo!,Nieuw stukje!,Nova peça!,Новый элемент!,Yeni parça!,,2,390,54
1013,msg_panel_get_u,New panel!,Nouveau puzzle !,Neues Puzzle!,¡Nuevo panel!,Nuovo puzzle!,Nieuwe puzzel!,Novo painel!,Новый пазл!,Yeni panel!,,1,395,34
1014,msg_panel_comp_u,Panel complete!,Puzzle terminé !,Puzzle vollständig!,¡Panel completo!,Puzzle completo!,Puzzel voltooid!,Painel concluído!,Пазл собран!,Panel tamamlandı!,,1,424,40
1015,msg_panel_new_piece_u,You received a new puzzle piece!,Vous obtenez une pièce de puzzle !,Du erhältst ein neues Puzzleteil!,¡Has recibido un cromo nuevo!,"Hai ricevuto un nuovo pezzo
del puzzle!",Je hebt een nieuw stukje ontvangen!,Recebeu uma nova peça de puzzle.,У тебя новый элемент!,Yeni bir yapboz parçası aldın!,,2,835,80
1016,msg_panel_which_piece_u,"Which panel do you want
to take a piece from?",Choisir une pièce pour quel puzzle ?,"Für welches Puzzle möchtest
du ein Teil erhalten?","¿Para qué panel quieres
obtener un cromo?","Da quale puzzle vuoi
prendere un pezzo?","Van welke puzzel wil
je een stukje hebben?","De que painel quer retirar uma
peça?",Из какого пазла взять элемент?,"Hangi panelden
bir parça almak istersin?",,2,837,100
1017,msg_panel_choice_piece_u,"The ? tiles represent pieces held by
the other player. Select one to take.","« ? » : pièces que l'autre joueur a
en sa possession. Faites votre choix.","Puzzleteile des anderen Nutzers
erkennst du am „?“. Wähle eins aus!","""?"" indica los cromos que
tiene el otro Mii. Elige uno.","Le caselle ""?"" rappresentano i pezzi
di altri utenti. Scegli un pezzo.","Op de stukjes van de andere speler
staat een vraagteken. Kies er één!","Os ""?"" representam peças de outros
jogadores. Escolha uma peça.","«?» указывает элементы, которые
есть у игрока. Выбери один.","? kareleri diğer oyuncudaki parçaları
gösterir. Almak için birini seç.",,2,838,150
1018,msg_panel_no_new_piece_u,"It seems they don't have
any new pieces for you.","Ce voyageur ne possède que
des pièces que vous avez déjà.","Schade! Anscheinend gibt es
keine neuen Teile für dich!",No tiene ningún cromo nuevo...,"Peccato! Sembra che non ci sia
nessun pezzo nuovo per te.","Helaas, blijkbaar zijn er geen
nieuwe puzzelstukjes voor je.",Não tem peças novas para lhe dar.,"Похоже, что для тебя нет новых
элементов.","Sana verebilecekleri
yeni parça yok gibi.",,2,795,122
1019,msg_panel3018_choice_u,,,,,,,,,,,1,0,2
1020,msg_panel_pink_nochoice_u_00,"Pink pieces are special. You can't
get them using [[CHR:E075]] Play Coins!","Les pièces roses ne peuvent être
achetées avec des [[CHR:E075]] pièces de jeu.","Rosafarbene Teile kannst du nicht
gegen [[CHR:E075]] Spielmünzen eintauschen!","Los cromos rosas son especiales.
¡No se pueden comprar!","I pezzi rosa sono speciali. Non puoi
ottenerli con le monete di gioco [[CHR:E075]]!","Roze stukjes zijn speciaal: je kunt
ze niet krijgen met [[CHR:E075]] speelmunten.","As peças rosa são especiais, não
se obtêm com [[CHR:E075]] Moedas de Jogo!","Розовые элементы нельзя
получить за игровые монетки [[CHR:E075]]!","Pembe parçalar özeldir. Onları
[[CHR:E075]] Oyun Jetonlarıyla alamazsın!",,2,816,146
1021,msg_panel_pink_get_u,"Got a special puzzle piece for
[[TAG:1:2:]]!","Pièce spéciale reçue pour le puzzle
[[TAG:1:2:]] !","Du hast ein spezielles Teil für
[[TAG:1:2:]] erhalten!","¡Has conseguido un cromo especial
del panel [[TAG:1:2:]]!","Hai ottenuto un pezzo speciale
del puzzle [[TAG:1:2:]]!","Je hebt een speciaal stukje voor
[[TAG:1:2:]]!","Obteve uma peça de puzzle especial
para [[TAG:1:2:]]!","Получен особенный элемент для
пазла [[TAG:1:2:]]!","[[TAG:1:2:]] için özel
bir yapboz parçası aldın!",,2,829,100
1022,choices_xx_u,,,,,,,,,,,1,0,2
1023,choices_legend2_battle_sword_u,Sword,Épée,Schwert,Espada,Spada,Zwaard,Espada,Меч,Kılıç,,1,182,16
1024,choices_legend2_battle_majic_u,Magic,Magie,Magie,Magia,Magia,Magie,Magia,Магия,Büyü,,1,142,12
1025,choices_legend2_battle_skill_u,Combo Blade,Double épée,Klingen-Combo,Espada comb.,Spada combinata,Zwaardcombo,Espada Combinada,Комбо-клинок,Kombo Kılıç,,1,437,34
1026,choices_legend2_battle_skill_m_u,Combo Magic,Double magie,Magie-Combo,Magia comb.,Magia combinata,Combomagie,Magia Combinada,Комбо-магия,Kombo Büyü,,1,408,32
1027,choices_legend2_battle_delivery_u,[[CHR:E075]] Get Potion,[[CHR:E075]] Livreur,Zaubertrankdienst,[[CHR:E075]] S. pociones,Ser. pozioni [[CHR:E075]],[[CHR:E075]] Elixerdienst,[[CHR:E075]] S. Poções,[[CHR:E075]] Эликсиры,[[CHR:E075]] İksir Al,,1,412,36
1028,choices_legend2_battle_combi_01_u,,,,,,,,,,,1,0,2
1029,choices_legend2_battle_combi_02_u,Create Team,Union,Duo formen,Formar equipo,Unisci le forze,Groep maken,Criar Equipa,Новая команда,Takım Kur,,1,348,32
1030,choices_legend2_battle_combi_03_u,Other Team,Changer,Anderes Duo,Otro miembro,Cambia l'eroe,Andere groep,Outra Equipa,Др. команда,Başka Takım,,1,313,28
1031,msg_legend2_skill_info_combi_attack_u,What should this level [[TAG:1:0:]] team do?,Que doit faire l'union niveau [[TAG:1:0:]] ?,Was soll dieses Stufe-[[TAG:1:0:]]-Duo tun?,¿Qué hace el equipo (Nv. [[TAG:1:0:]])?,Cosa farà la squadra di livello [[TAG:1:0:]]?,"Wat moet deze groep
met level [[TAG:1:0:]] doen?","O que deve a equipa
de nível [[TAG:1:0:]] fazer?","Что должна сделать команда
уровня [[TAG:1:0:]]?",Bu Seviye [[TAG:1:0:]] takım ne yapsın?,,2,745,82
1032,msg_legend2_skill_info_delivery_u,"Get potion. Order potions from the
Potion Service using [[CHR:E075]] Play Coins.","Livreur.
Commandez des fioles. ","Zaubertrankdienst.
Bestelle mit [[CHR:E075]] Spielmünzen Tränke.","Servicio de pociones
Permite pedir pociones usando [[CHR:E075]].","Servizio pozioni.
Usa le [[CHR:E075]] per ordinare delle pozioni.","Elixerdienst: koop elixers
met [[CHR:E075]] speelmunten.","Serviço de poções.
Utilize [[CHR:E075]] para encomendar poções.","Эликсиры. Покупай эликсиры
с помощью игровых монеток [[CHR:E075]].","İksir al. [[CHR:E075]] Oyun Jetonlarıyla
İksir Servisi’nden iksir sipariş et.",,2,816,140
1033,msg_legend2_skill_info_combi_01_u,,,,,,,,,,,1,0,2
1034,msg_legend2_skill_info_combi_02_u,"Create team.
Team up with another hero.","Union.
Formez une union avec un héros.","Heldenduo formen.
Verbünde dich mit einem Helden.","Formar equipo
Forma un equipo con otro héroe.","Unisci le forze.
Alleati con un altro eroe.","Groep maken: werk samen
met een andere held.","Criar equipa.
Forme equipa com um herói.","Новая команда. Объединись
с каким-нибудь героем.","Takım kur.
Başka bir kahramanla takım ol.",,2,765,100
1035,msg_legend2_skill_info_combi_03_u,"Other team.
Team up with a different hero.","Changer.
Appelez un autre héros.","Anderes Heldenduo.
Rufe einen anderen Helden herbei.","Otro miembro
Forma equipo con un héroe distinto.","Cambia l'eroe.
Alleati con un eroe diverso.","Andere groep: zoek naar een andere
held om een groep mee te maken.","Outra equipa.
Forme equipa com um novo herói.","Др. команда.
Объединись с другим героем.","Başka takım.
Farklı bir kahramanla takım ol.",,2,838,134
1036,choice_ques_greeting_u,Use which greeting?,Salutation à utiliser ?,Welche Begrüßung?,¿Qué saludo usas?,Quale saluto usi?,Kies je begroeting.,Utilizar que saudação?,Какое приветствие?,Hangi selamlama?,,1,522,48
1037,choice_greeting_u,General,Générale,Gewöhnlich,General,Generale,Algemeen,Geral,Обычное,Genel,,1,263,22
1038,choice_sepa_greeting_u,Personal,Personnelle,Persönlich,Personal,Personale,Persoonlijk,Individual,Личное,Kişisel,,1,265,24
1039,choice_best_u,Fantastic!,Super !,Klasse!,¡Mola!,Fantastico!,Geweldig!,Demais!,Класс!,Harika!,,1,253,24
1040,choice_normal_u,"OK, I guess...",Bof...,Geht so...,Pues...,"Mah, sai...",Gaat wel...,Não está mal...,Так себе...,"Eh, fena değil...",,1,344,32
1041,hat_xx,,,,,,,,,,,1,0,2
1042,hat_mario,Mario's Cap,Casquette Mario,Mario-Mütze,Gorra de Mario,Cappello di Mario,Mario-pet,Boné do Mario,Кепка Марио,Mario’nun Şapkası,,1,399,36
1043,hat_kino,Toad Hat,Chapeau Toad,Toad-Mütze,Gorro de Toad,Cappello da Toad,Toad-muts,Chapéu do Toad,Шапка Тоада,Toad Şapkası,,1,399,34
1044,hat_luigi,Luigi's Cap,Casquette Luigi,Luigi-Mütze,Gorra de Luigi,Cappello di Luigi,Luigi-pet,Boné do Luigi,Кепка Луиджи,Luigi’nin Şapkası,,1,381,36
1045,hat_kuppa,Bowser Hat,Casque Bowser,Bowser-Maske,Casco de Bowser,Cappello da Bowser,Bowser-hoed,Máscara do Bowser,Шапка Боузера,Bowser Şapkası,,1,451,38
1046,hat_r_piku,Red Pikmin Hat,Chapeau Pikmin rouge,Pikmin-Hut (rot),Gorro de Pikmin rojo,Cappello da Pikmin rosso,Rode Pikmin-muts,Gorro vermelho de Pikmin,Красная шапка пикмина,Kırmızı Pikmin Şapkası,,1,588,50
1047,hat_y_piku,Yellow Pikmin Hat,Chapeau Pikmin jaune,Pikmin-Hut (gelb),Gorro de Pikmin amarillo,Cappello da Pikmin giallo,Gele Pikmin-muts,Gorro amarelo de Pikmin,Желтая шапка пикмина,Sarı Pikmin Şapkası,,1,572,52
1048,hat_b_piku,Blue Pikmin Hat,Chapeau Pikmin bleu,Pikmin-Hut (blau),Gorro de Pikmin azul,Cappello da Pikmin blu,Blauwe Pikmin-muts,Gorro azul de Pikmin,Синяя шапка пикмина,Mavi Pikmin Şapkası,,1,521,46
1049,hat_link,Link's Cap,Chapeau Link,Link-Mütze,Gorro de Link,Cappello di Link,Link-muts,Gorro do Link,Колпак Линка,Link’in Şapkası,,1,365,34
1050,hat_samus,Samus's Helmet,Casque Samus,Samus-Helm,Casco de Samus,Casco di Samus,Samus-helm,Capacete da Samus,Шлем Самус,Samus’un Miğferi,,1,451,36
1051,hat_metroid,Metroid Hat,Chapeau Métroïde,Metroid-Kappe,Gorro de metroide,Cappello da Metroid,Metroid-muts,Gorro de Metroid,Шапка метроида,Metroid Şapkası,,1,459,40
1052,hat_cat,Cat Ears,Oreilles de chat,Katzenohren,Diadema de gato,Orecchie da gatto,Kattenoortjes,Orelhas de Gato,Уши кота,Kedi Kulakları,,1,406,36
1053,hat_rabbit,Bunny Ears,Oreilles de lapin,Hasenohren,Diadema de conejo,Orecchie da coniglio,Konijnenoortjes,Orelhas de Coelho,Уши кролика,Tavşan Kulakları,,1,467,42
1054,hat_king,Regal Crown,Couronne,Krone,Corona real,Corona,Koninklijke kroon,Coroa,Корона,Kraliyet Tacı,,1,390,36
1055,hat_dog,Dog Ears,Oreilles de chien,Hundeohren,Diadema de perro,Orecchie da cane,Hondenoortjes,Orelhas de Cão,Уши собаки,Köpek Kulakları,,1,406,36
1056,hat_kirby,Kirby Hat,Chapeau Kirby,Kirby-Hut,Gorro de Kirby,Cappello da Kirby,Kirby-muts,Chapéu do Kirby,Шапка Кирби,Kirby Şapkası,,1,401,36
1057,hat_last_ghost,Ultimate Helmet,Casque suprême,Obergeist-Helm,Casco supremo,Casco supremo,Hoogste hoed,Capacete Supremo,Последний шлем,Nihai Miğfer,,1,431,34
1058,hat_not,No Hat,Aucun,Keine,Nada,-,Geen,Sem Chapéu,Нет головного убора,Şapka Yok,,1,488,40
1059,hat_ques,???,???,???,(?),???,???,???,???,???,,1,93,8
1060,hat_arwing,Arwing Hat,Chapeau Arwing,Arwing-Hut,Gorro de Arwing,Cappello Arwing,Arwing-hoed,Chapéu de Arwing,Шапка Арвинг,Arwing Şapkası,,1,417,34
1061,hat_dokan,Pipe Hat,Casque tuyau,Röhren-Helm,Casco tubería,Cappello tubo,Buishoed,Chapéu de Cano,Шапка Труба,Boru Şapkası,,1,380,30
1062,hat_ribbon,Red Ribbon,Ruban rouge,Rote Schleife,Lazo rojo,Fiocco rosso,Rode strik,Laço Vermelho,Красный бант,Kırmızı Kurdele,,1,339,28
1063,hat_silkhat,Top Hat,Haut-de-forme,Zylinder,Chistera,Tuba,Hoge hoed,Cartola,Цилиндр,Silindir Şapka,,1,334,28
